Model,Accuracy,Precision,Recall,F1
Decision Tree,0.9966059530811582,0.9969576596564413,0.9937100255571593,0.9953311934636708
Logistic Regression,0.9316899846689358,0.9422688736374647,0.8653945469232094,0.9021970967675136
Random Forest,0.9995419965095312,0.9991793079713023,0.9995630123018658,0.9993711233061703
